log_prob_no_pheno,log_prob_yes_pheno,odds_no_pheno,odds_yes_pheno,model#,feature,model
9.34233308143468,10.22350369881181,2.641386465004755,0.37858905285115096,1,nullA_0,main
9.160011524640725,9.93582162636003,2.3563392221389248,0.4243871131136492,1,nullA_1,main
9.160011524640725,9.93582162636003,2.3563392221389248,0.4243871131136492,1,nullA_2,main
8.179182271629,8.92422071468155,2.2984046991236027,0.4350843871757253,1,nullA_3,main
7.4552634324023,8.18662177155077,2.281742455332161,0.4382615564973684,1,nullA_4,main
5.065666962418624,5.683761318146174,2.081776807697061,0.4803588916461402,1,nullA_5,main
5.769987443576695,6.373356097101751,2.0194494804410277,0.49518445976752534,1,nullA_6,main
5.430310076006534,6.023798620931883,2.0081429084655276,0.49797252764452155,1,nullA_7,main
5.458709550528232,6.0491164289161725,1.9999189989050137,0.5000202510939269,1,nullA_8,main
8.75454641653256,9.376205838424607,1.994236863008159,0.501444947964493,1,nullA_9,main
8.75454641653256,9.376205838424607,1.994236863008159,0.501444947964493,1,nullA_10,main
4.998527659580996,5.556924884695075,1.9431273303196226,0.5146343136635885,1,nullA_11,main
5.238038188359411,5.792686899968496,1.9257161366023834,0.519287334718158,1,nullA_12,main
4.902037538636822,5.438793598991641,1.897737503216902,0.5269432670771775,1,nullA_13,main
5.394942932169243,5.928488441127558,1.8735832398897492,0.5337366276071326,1,nullA_14,main
5.595184719196768,6.129159136589709,1.8684806795785536,0.5351941879460886,1,nullA_15,main
5.088139818270683,5.6083831819705505,1.8544599714666874,0.539240541929359,1,nullA_16,main
4.833673795827432,5.345765078181985,1.8455718159830095,0.5418374897903221,1,nullA_17,main
4.739164898117261,5.242182792384329,1.8292296664596552,0.5466782101426495,1,nullA_18,main
5.251327420478094,5.749961955302155,1.802810590881993,0.5546894416183609,1,nullA_19,main
5.353349034870405,5.849845313808444,1.7953305310740009,0.5570004980652676,1,nullA_20,main
4.874128750519746,5.358536643861473,1.78453423125059,0.5603703097918197,1,nullA_21,main
4.892647798286983,5.371473434892192,1.7721513511803157,0.5642858886369747,1,nullA_22,main
5.093837839385321,5.566373773893007,1.7528590645890334,0.5704965220546441,1,nullA_23,main
7.693674455847298,8.18662177155077,1.7420283529081952,0.5740434696889805,1,nullA_24,main
4.894986980640155,5.345765078181985,1.7140708486079812,0.5834064565138091,1,nullA_25,main
4.87183779877319,5.291430727218656,1.652369567567035,0.6051914896208175,1,nullA_26,main
5.158757385484637,5.569543348654286,1.6280830762865746,0.6142192708500216,1,nullA_28,main
7.36825205541267,7.795755462863758,1.6223931524256985,0.6163734101717971,1,nullA_29,main
5.544599222408661,5.951477959352257,1.612351997999024,0.6202119644103952,1,nullA_30,main
5.231459217261368,5.631756533155859,1.6064527002697986,0.6224895384918916,1,nullA_31,main
4.592197125196402,4.981756683752168,1.6015686401738554,0.6243878500839319,1,nullA_32,main
6.1981808027624155,6.603617116184825,1.5980722037584905,0.6257539538251835,1,nullA_33,main
7.860728540510464,8.277593549756496,1.597656726057281,0.6259166839098245,1,nullA_34,main
5.019525806420769,5.411319343439392,1.5951232452827648,0.6269108063952336,1,nullA_35,main
7.000527275287353,7.410092982051773,1.594281593096564,0.627241764773628,1,nullA_36,main
4.587020237016869,4.969486591160353,1.5881221172720685,0.6296744999167374,1,nullA_37,main
4.571648456969015,4.952215004651692,1.5849100379281602,0.6309506382502498,1,nullA_38,main
4.5285240303352605,4.892396509440782,1.5545073535304843,0.6432906204842791,1,nullA_39,main
4.4778802975165055,4.834431968995309,1.5421314589678865,0.6484531485203455,1,nullA_40,main
4.623834210139585,4.9782355533535885,1.5345736475126428,0.6516467955909958,1,nullA_41,main
6.762116251842355,7.132461245453494,1.527550493956329,0.6546428441851487,1,nullA_42,main
5.50503362220247,5.86253047333576,1.5225937653939117,0.6567740015284307,1,nullA_43,main
7.4552634324023,7.8256084260134395,1.5201761209729872,0.657818516028229,1,nullA_44,main
4.611411690141028,4.953928801129427,1.5131053108250456,0.6608925319644364,1,nullA_45,main
9.160011524640725,9.530356518251864,1.506787172678018,0.6636637330955616,1,nullA_46,main
9.160011524640725,9.530356518251864,1.506787172678018,0.6636637330955616,1,nullA_47,main
9.160011524640725,9.530356518251864,1.506787172678018,0.6636637330955616,1,nullA_48,main
9.56547663274889,9.93582162636003,1.5043052050230306,0.6647587182846252,1,nullA_49,main
4.731180823769041,5.066365945726552,1.4972559851729075,0.6678884638985211,1,nullA_50,main
7.1675813599505185,7.5154534977096,1.4847779535877121,0.6735013795050439,1,nullA_51,main
6.71766448927152,7.059436110438604,1.4790444695004952,0.6761121931227134,1,nullA_52,main
4.616716742370722,4.930198874087317,1.4610826001615147,0.6844240016885119,1,nullA_53,main
7.693674455847298,8.026279121475591,1.4548855271402257,0.6873393001342416,1,nullA_54,main
5.394942932169243,5.708987881091849,1.4486392715103387,0.6903029758108163,1,nullA_55,main
4.485626269631161,4.78978169525757,1.4473902955214788,0.6908986491716881,1,nullA_56,main
4.515620625499352,4.817827813943274,1.4433801912893804,0.6928181542429883,1,nullA_57,main
6.63428288033247,6.952668135012898,1.4408888272181009,0.6940160691860472,1,nullA_58,main
6.46313462413664,6.7788212052099155,1.4381756035095563,0.6953253813788222,1,nullA_59,main
5.968164372160444,6.2786908705606725,1.4351201763256614,0.6968057564073138,1,nullA_60,main
6.139586638496363,6.446918664278768,1.4278601126669712,0.7003487184274585,1,nullA_61,main
5.387250586546086,5.6802089165418055,1.4132770880828627,0.7075753285978188,1,nullA_62,main
4.541596111902613,4.816331927351691,1.3958030686771727,0.7164334442592375,1,nullA_63,main
6.840897129695469,7.132461245453494,1.3955681439195136,0.7165540460041289,1,nullA_64,main
6.747078374477814,7.031656546331528,1.3852642445573746,0.7218839322020646,1,nullA_65,main
6.189597059071024,6.470085723560302,1.3837649835365715,0.7226660682251401,1,nullA_66,main
6.451961323538515,6.716945801491828,1.3569423134507768,0.7369510038027678,1,nullA_67,main
6.288331899756713,6.551431363014254,1.3553872148990949,0.7377965418350559,1,nullA_68,main
4.4778802975165055,4.715465801281704,1.3354701735244099,0.7487999506278167,1,nullA_69,main
6.532930386072183,6.7788212052099155,1.3268907751714984,0.7536415345647056,1,nullA_70,main
8.872329452188945,9.1248914101437,1.323964406453194,0.7553073142494282,1,nullA_71,main
5.747764306791985,5.979781735515108,1.3120496515188198,0.762166278419728,1,nullA_72,main
6.824636608823688,7.059436110438604,1.3081652505060943,0.7644294171650917,1,nullA_73,main
7.080569982960889,7.314782802247448,1.3057214857931088,0.7658601094341261,1,nullA_74,main
8.312713664253522,8.549527265240139,1.3033051775194109,0.7672800026033091,1,nullA_75,main
6.7928879105091085,7.01805089427575,1.294044187551199,0.7727711384356688,1,nullA_76,main
7.550573612206625,7.766767925990505,1.2768867488263322,0.7831548106511118,1,nullA_77,main
5.710023978809137,5.91046993562488,1.2648430929675707,0.7906118992623846,1,nullA_78,main
8.118557649812564,8.326383713925928,1.262511244912378,0.7920721530439936,1,nullA_79,main
6.891327983322361,7.08800948288266,1.2521001276003112,0.7986581727425673,1,nullA_80,main
7.486035091069054,7.684529827753534,1.2519028004732096,0.7987840586521637,1,nullA_81,main
5.567275931079691,5.753771483718823,1.245385635298725,0.802964135490558,1,nullA_82,main
6.251290628076363,6.439314064893549,1.2431612327112365,0.8044008883860373,1,nullA_83,main
5.710023978809137,5.892770358525478,1.2389315973770847,0.8071470629347726,1,nullA_84,main
6.7928879105091085,6.978310565626235,1.2365847352638635,0.8086789133674848,1,nullA_85,main
6.747078374477814,6.92766683280748,1.229984983417799,0.8130180558963148,1,nullA_86,main
7.080569982960889,7.2616729769335,1.2291941884169764,0.8135411063795011,1,nullA_87,main
6.0172970607380885,6.192217272556846,1.2257774202341365,0.8158087948862603,1,nullA_88,main
5.792715694654251,5.965529712807907,1.2241058507639477,0.8169228170716721,1,nullA_89,main
5.6287610147303715,5.796663048348136,1.2181034495223888,0.8209483360317992,1,nullA_90,main
6.621037653582449,6.789516494326663,1.2136185916612872,0.8239821034968896,1,nullA_91,main
6.824636608823688,6.991382647193588,1.2103205999312618,0.8262273649285927,1,nullA_92,main
5.901914986619243,6.059425798575034,1.201834311480097,0.8320614501082667,1,nullA_93,main
5.827807014465521,5.984577907778601,1.2011938419653214,0.8325051003956694,1,nullA_94,main
6.569744359194899,6.7269961373453295,1.1983020081926816,0.8345141651796383,1,nullA_95,main
6.224383175156439,6.3804735648706155,1.1982454497914115,0.8345535550951421,1,nullA_96,main
6.762116251842355,6.915396740215666,1.1920743366150715,0.8388738598630754,1,nullA_97,main
5.914818391455151,6.064620615452138,1.1910239715644588,0.8396136634315252,1,nullA_98,main
5.941135699772524,6.0910073706253325,1.1909899385589349,0.8396376557219052,1,nullA_99,main
6.091958589507108,6.240711622495456,1.1887206127596028,0.8412405650798888,1,nullB_0,main
5.968164372160444,6.112629834638499,1.1833899433431403,0.8450299967692357,1,nullB_1,main
7.262891539754843,7.410092982051773,1.1820691223927309,0.8459742167833734,1,nullB_2,main
8.46686434408078,8.61406578637771,1.1787300536801066,0.8483706654275127,1,nullB_3,main
6.762116251842355,6.903275379683321,1.1756476925773391,0.8505949582631581,1,nullB_4,main
6.04649621543035,6.18045243097726,1.168672777722141,0.8556715096496893,1,nullB_5,main
6.076573670667629,6.2101281991233765,1.1680025551694564,0.8561625105819379,1,nullB_6,main
7.550573612206625,7.684529827753534,1.1636270272647538,0.8593818952028135,1,nullB_7,main
5.653453627320744,5.7808524423214935,1.1614664041751004,0.8609805642292533,1,nullB_8,main
7.693674455847298,7.8256084260134395,1.160599829292932,0.8616234250260283,1,nullB_9,main
6.944437808636309,7.07362074543056,1.1590658625905206,0.8627637412812702,1,nullB_10,main
6.17264750075725,6.298235466633643,1.1568833672990266,0.8643913710460702,1,nullB_11,main
6.010128571259476,6.134730181639164,1.1561801141432553,0.8649171420328511,1,nullB_12,main
5.638565014826993,5.761434356464392,1.1553764278359147,0.8655187832359159,1,nullB_13,main
5.781286998830629,5.901580988207633,1.1512956339820661,0.8685866344695763,1,nullB_14,main
9.005860844813467,9.1248914101437,1.1412920457588245,0.8761999207092678,1,nullB_15,main
5.876597178634953,5.9893971942145505,1.140894842447787,0.8765049703042765,1,nullB_16,main
5.6287610147303715,5.73861967869822,1.1379040548047974,0.8788087148274955,1,nullB_17,main
6.099740729949163,6.2101281991233765,1.1369198751705942,0.8795694594132683,1,nullB_18,main
5.483710852733649,5.592016204506345,1.1363975553874728,0.8799737338919515,1,nullB_19,main
5.5904788281593545,5.698098481292581,1.1350619501297898,0.8810091818210044,1,nullB_20,main
6.233272122573686,6.338509365771583,1.1297308889136237,0.8851665558703312,1,nullB_21,main
6.26963976674456,6.373356097101751,1.1276362430498281,0.8868108010570676,1,nullB_22,main
6.595062167179188,6.697143174195649,1.124615093537592,0.8891931166016966,1,nullB_23,main
6.451961323538515,6.551431363014254,1.1216147950134014,0.8915716914986412,1,nullB_24,main
6.891327983322361,6.991382647193588,1.121278101827043,0.8918394093049448,1,nullB_25,main
6.20683886550553,6.304836150664995,1.1203739797503842,0.8925591080067719,1,nullB_26,main
5.895525188520472,5.9893971942145505,1.1159088186203148,0.8961305648936246,1,nullB_27,main
8.007332014702339,8.10324016261172,1.1138411375335675,0.8977940985501295,1,nullB_28,main
6.485862875214196,6.577183859116669,1.1110469696610212,0.9000519575739436,1,nullB_29,main
5.69949756582215,5.788726498752399,1.1104476555510054,0.9005377200817257,1,nullB_30,main
5.914818391455151,6.003995993635703,1.1097580901388393,0.9010972831699676,1,nullB_31,main
7.619566483693577,7.7111980748356945,1.109140823579695,0.9015987679297128,1,nullB_32,main
6.46313462413664,6.551431363014254,1.1072349342987966,0.9031506946023992,1,nullB_33,main
7.340853081224555,7.430295689369292,1.1068888069565013,0.9034331124456826,1,nullB_34,main
6.242240792556446,6.324903713715805,1.1005593089227528,0.9086289052234885,1,nullB_35,main
6.35665114373419,6.439314064893549,1.1003004237233185,0.908842692813013,1,nullB_36,main
7.288209347739134,7.370872268898492,1.0984950314594695,0.9103363887512463,1,nullB_37,main
9.85315870520067,9.93582162636003,1.0952880734257862,0.9130018159261526,1,nullB_38,main
5.921333072476345,5.999106008341511,1.0950738354984013,0.9131804336689953,1,nullB_39,main
5.895525188520472,5.970257854003853,1.091255821707708,0.9163754090540368,1,nullB_40,main
6.131489428263743,6.204122175063164,1.0880738150196683,0.9190552940398844,1,nullB_41,main
