feature,shap_zscore,data_type
disease_77,2.4088873483732662,main
disease_80,2.5585646016284853,main
disease_63,2.6334545065827855,main
disease_94,2.9823217358310488,main
disease_57,3.049957365507165,main
disease_89,3.1326066190798167,main
disease_66,3.1518326212896963,main
disease_14,3.161591639493688,main
disease_5,3.388725572966748,main
disease_33,3.5199663992781294,main
disease_56,3.6894699213661912,main
"disease_66,disease_88",2.5,epi
"disease_88,disease_66",2.5,epi
"nullB_78,disease_68",3.0,epi
"disease_24,disease_29",7.5,epi
"nullC_26,disease_42",2.0027045954995333,epi
"disease_66,disease_87",2.1001805663752666,epi
"disease_64,disease_56",2.2940919436695055,epi
"disease_33,disease_79",3.720714033669082,epi
"disease_49,disease_15",4.941551562221803,epi
"nullC_90,disease_94",4.960871617135998,epi

"disease_66,disease_88",2.5,epi
"disease_88,disease_66",2.5,epi
"nullB_78,disease_68",3.0,epi
"disease_24,disease_29",7.5,epi
"disease_66,disease_88",2.5,epi
"disease_88,disease_66",2.5,epi
"nullB_78,disease_68",3.0,epi
"disease_24,disease_29",7.5,epi
disease_35,2.1125102050661875,main
disease_81,2.724793503531323,main
disease_92,3.016719242843537,main
disease_96,4.55940203575935,main
disease_52,7.8136669273461985,main
"disease_66,disease_88",2.5,epi
"disease_88,disease_66",2.5,epi
"nullB_78,disease_68",3.0,epi
"disease_24,disease_29",7.5,epi
disease_49,2.036019344705304,main
disease_57,2.0981387601815267,main
disease_62,2.1455845341935067,main
disease_42,2.1570148713628825,main
disease_93,3.270131996852105,main
disease_25,3.4151954457106117,main
disease_76,3.5281292710018364,main
disease_7,4.208182286879664,main
disease_50,5.66318119332668,main
"disease_66,disease_88",2.5,epi
"disease_88,disease_66",2.5,epi
"nullB_78,disease_68",3.0,epi
"disease_24,disease_29",7.5,epi
